animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S7.1,4/1/2025,d02,11:42:33,stress_cohort.exp,2339.83,2
S7.1,4/2/2025,d03,15:27:57,stress_cohort.exp,2356.55,2
S7.1,4/3/2025,d04,12:18:20,stress_cohort.exp,2301.22,2
S7.1,4/4/2025,d05,13:00:59,stress_cohort.exp,2351.18,5
S7.1,4/5/2025,d06,14:19:42,stress_cohort.exp,1236.12,2
S7.1,4/7/2025,d07,12:31:51,stress_cohort.exp,2329.21,29
S7.1,4/8/2025,d08,11:34:27,stress_cohort.exp,1710.02,30
S7.1,4/9/2025,d09,12:57:03,stress_cohort.exp,1838.54,31
S7.1,4/10/2025,d10,11:56:01,stress_cohort.exp,1449.58,40
S7.1,4/11/2025,d11,12:17:32,stress_cohort.exp,2082.31,34
S7.1,4/12/2025,d12,14:21:31,stress_cohort.exp,1628.42,30
S7.1,4/13/2025,d13,12:56:20,stress_cohort.exp,905.73,40
S7.1,4/16/2025,d14,10:49:15,stress_cohort.exp,1140.12,43
S7.2,3/31/2025,d01,14:37:06,stress_cohort.exp,2208.48,6
S7.2,4/1/2025,d02,11:42:33,stress_cohort.exp,2399.98,0
S7.2,4/2/2025,d03,15:27:57,stress_cohort.exp,2352.68,2
S7.2,4/3/2025,d04,12:18:20,stress_cohort.exp,2375.92,2
S7.2,4/4/2025,d05,13:00:59,stress_cohort.exp,2394.44,1
S7.2,4/5/2025,d06,14:19:42,stress_cohort.exp,1215.45,17
S7.2,4/7/2025,d07,12:31:51,stress_cohort.exp,2230.76,32
S7.2,4/8/2025,d08,11:34:27,stress_cohort.exp,1247.33,40
S7.2,4/9/2025,d09,12:57:03,stress_cohort.exp,1244.60,40
S7.2,4/10/2025,d10,11:56:01,stress_cohort.exp,1400.30,40
S7.2,4/11/2025,d11,12:17:32,stress_cohort.exp,1069.76,40
S7.2,4/12/2025,d12,14:21:31,stress_cohort.exp,943.99,40
S7.2,4/13/2025,d13,12:56:20,stress_cohort.exp,1169.75,40
S7.2,4/16/2025,d14,10:49:15,stress_cohort.exp,688.78,47
S7.3,3/31/2025,d01,14:37:06,stress_cohort.exp,2129.59,3
S7.3,4/1/2025,d02,11:42:33,stress_cohort.exp,2399.98,0
S7.3,4/2/2025,d03,15:27:57,stress_cohort.exp,2113.70,3
S7.3,4/3/2025,d04,12:18:20,stress_cohort.exp,2369.02,3
S7.3,4/4/2025,d05,13:00:59,stress_cohort.exp,2255.41,24
S7.3,4/5/2025,d06,14:19:42,stress_cohort.exp,1225.88,4
S7.3,4/7/2025,d07,12:31:51,stress_cohort.exp,1047.30,40
S7.3,4/8/2025,d08,11:34:27,stress_cohort.exp,1165.80,40
S7.3,4/9/2025,d09,12:57:03,stress_cohort.exp,1461.33,40
S7.3,4/10/2025,d10,11:56:01,stress_cohort.exp,1296.10,37
S7.3,4/11/2025,d11,12:17:32,stress_cohort.exp,1052.82,40
