animal,Date,state,pressing_rate,day,excl
h165.2,28-Feb,pressing_active,1.808113911,d11,incl
h61.2,12/8/24,pressing_passive,1.71875,d11,incl
h57.2,9/23/24,pressing_active,1.644261072,d11,incl
h168.2,6/15/25,pressing_passive,1.438568624,d11,incl
h168.3,6/15/25,pressing_passive,1.156371746,d11,incl
h57.2,9/23/24,pressing_passive,0.48582996,d11,incl
h56.1,9/23/24,pressing_passive,0.408970077,d11,incl
h56.2,9/25/24,pressing_passive,0.26379424,d11,incl
h165.1,1-Mar,pressing_active,20.35756231,d12,
h165.3,1-Mar,pressing_active,19.02587519,d12,
h165.3,1-Mar,pressing_passive,18.74605874,d12,
h165.4,1-Mar,pressing_active,18.50481125,d12,
h165.1,1-Mar,pressing_passive,13.37540893,d12,
h165.4,1-Mar,pressing_passive,11.88555084,d12,
h168.2,6/16/25,pressing_active,10.26194977,d12,
h168.3,6/16/25,pressing_active,9.250535332,d12,
h165.2,1-Mar,pressing_active,5.414857014,d12,
h57.1,9/26/24,pressing_active,4.898443878,d12,
h165.2,1-Mar,pressing_passive,4.8726278,d12,
h61.1,12/15/24,pressing_active,4.662910433,d12,
h57.2,9/24/24,pressing_active,4.380734503,d12,
h168.1,6/16/25,pressing_active,3.916662133,d12,
h56.2,9/26/24,pressing_active,3.667750691,d12,
h56.1,9/24/24,pressing_active,3.006960557,d12,
h61.4,12/15/24,pressing_active,1.467112234,d12,
h168.2,6/16/25,pressing_passive,1.306590258,d12,
h168.3,6/16/25,pressing_passive,1.246928522,d12,
h61.3,12/15/24,pressing_active,1.165750257,d12,
h61.1,12/15/24,pressing_passive,0.880005664,d12,
h61.4,12/15/24,pressing_passive,0.864115215,d12,
h61.2,12/15/24,pressing_passive,0.77657337,d12,
h57.1,9/26/24,pressing_passive,0.744416873,d12,
h61.2,12/15/24,pressing_active,0.665434381,d12,
h61.3,12/15/24,pressing_passive,0.54617304,d12,
h168.1,6/16/25,pressing_passive,0.506897426,d12,
h57.2,9/24/24,pressing_passive,0.390977444,d12,
h56.2,9/26/24,pressing_passive,0.179039453,d12,
h56.1,9/24/24,pressing_passive,0.132984029,d12,
h165.3,2-Mar,pressing_active,18.21335646,d13,
h165.4,2-Mar,pressing_active,10.36013814,d13,
h165.3,2-Mar,pressing_passive,8.871428571,d13,
h57.1,9/30/24,pressing_active,8.78477306,d13,
h168.1,6/17/25,pressing_active,7.692965211,d13,
h168.3,6/17/25,pressing_active,6.350102307,d13,
h57.1,9/30/24,pressing_passive,6.274189283,d13,
h56.2,9/30/24,pressing_active,5.643994211,d13,
h165.1,2-Mar,pressing_active,4.521720407,d13,
h165.4,2-Mar,pressing_passive,4.367213115,d13,
h57.2,9/25/24,pressing_active,4.191077062,d13,
h168.1,6/17/25,pressing_passive,3.563791875,d13,
h168.2,6/17/25,pressing_active,2.752609244,d13,
h56.2,9/30/24,pressing_passive,2.717134167,d13,
h56.1,9/25/24,pressing_active,2.686968204,d13,
h61.1,12/16/24,pressing_active,2.479500034,d13,
h61.4,12/16/24,pressing_active,1.853938257,d13,
h61.3,12/16/24,pressing_passive,1.576087157,d13,
h165.1,2-Mar,pressing_passive,1.333333333,d13,
h61.3,12/16/24,pressing_active,1.264908975,d13,
h168.3,6/17/25,pressing_passive,0.995494748,d13,
h61.4,12/16/24,pressing_passive,0.758984428,d13,
h165.2,2-Mar,pressing_active,0.647959826,d13,
h165.2,2-Mar,pressing_passive,0.51535007,d13,
h61.1,12/16/24,pressing_passive,0.490170896,d13,
h61.2,12/16/24,pressing_passive,0.441868441,d13,
h168.2,6/17/25,pressing_passive,0.418877409,d13,
h61.2,12/16/24,pressing_active,0.377134853,d13,
h57.2,9/25/24,pressing_passive,0.201561623,d13,
h56.1,9/25/24,pressing_passive,0.092621179,d13,
h165.3,3-Mar,pressing_active,22.99857628,d14,
h168.2,6/20/25,pressing_active,17.41764483,d14,
h56.2,10/1/24,pressing_active,14.51027811,d14,
h168.3,6/20/25,pressing_active,14.44310712,d14,
h165.1,3-Mar,pressing_active,12.79317697,d14,
h165.3,3-Mar,pressing_passive,10.02857143,d14,
h57.1,10/1/24,pressing_active,8.501794823,d14,
h57.1,10/1/24,pressing_passive,6.729581837,d14,
h165.4,3-Mar,pressing_active,6.145382184,d14,
h61.4,12/17/24,pressing_active,5.327833634,d14,
h57.2,9/26/24,pressing_active,5.297937792,d14,
h56.1,9/26/24,pressing_active,4.001679717,d14,
h165.1,3-Mar,pressing_passive,3.219512195,d14,
h168.1,6/20/25,pressing_active,2.816108139,d14,
h168.1,6/20/25,pressing_passive,2.727272727,d14,
h168.2,6/20/25,pressing_passive,2.008745143,d14,
h61.1,12/17/24,pressing_active,1.948842875,d14,
h165.2,3-Mar,pressing_active,1.922355347,d14,
h165.2,3-Mar,pressing_passive,1.204876509,d14,
h57.2,9/26/24,pressing_passive,1.087314191,d14,
h165.4,3-Mar,pressing_passive,1.054545455,d14,
h168.3,6/20/25,pressing_passive,0.97535787,d14,
h61.1,12/17/24,pressing_passive,0.793965859,d14,
h61.4,12/17/24,pressing_passive,0.783435364,d14,
h61.3,12/17/24,pressing_active,0.769710076,d14,
h61.2,12/17/24,pressing_active,0.761835661,d14,
h61.3,12/17/24,pressing_passive,0.747327492,d14,
h61.2,12/17/24,pressing_passive,0.61844261,d14,
h56.2,10/1/24,pressing_passive,0.364777121,d14,
h56.1,9/26/24,pressing_passive,0.330318758,d14,
h168.3,6/21/25,pressing_active,25.40834846,d15,
h168.2,6/21/25,pressing_active,20.33241891,d15,
h57.2,9/30/24,pressing_active,12.20362622,d15,
h165.4,4-Mar,pressing_active,7.298001738,d15,
h57.1,10/2/24,pressing_active,5.439140895,d15,
h56.1,9/30/24,pressing_active,5.160035896,d15,
h61.4,12/18/24,pressing_active,4.784688995,d15,
h165.1,4-Mar,pressing_active,4.573785929,d15,
h57.1,10/2/24,pressing_passive,4.028957331,d15,
h165.2,4-Mar,pressing_active,3.676320412,d15,
h57.2,9/30/24,pressing_passive,3.655172414,d15,
h168.3,6/21/25,pressing_passive,2.771581153,d15,
h56.1,9/30/24,pressing_passive,2.64,d15,
h61.1,12/18/24,pressing_active,2.637768448,d15,
h165.2,4-Mar,pressing_passive,2.478386167,d15,
h168.1,6/22/25,pressing_active,2.39186765,d15,
h165.1,4-Mar,pressing_passive,2.018691589,d15,
h168.2,6/21/25,pressing_passive,1.956719234,d15,
h165.3,4-Mar,pressing_active,1.833390627,d15,
h165.3,4-Mar,pressing_passive,1.191014458,d15,
h61.2,12/18/24,pressing_passive,0.812031052,d15,
h61.3,12/18/24,pressing_active,0.775279654,d15,
h61.2,12/18/24,pressing_active,0.766535261,d15,
h61.4,12/18/24,pressing_passive,0.757193337,d15,
h61.1,12/18/24,pressing_passive,0.629026424,d15,
h61.3,12/18/24,pressing_passive,0.550574595,d15,
h165.4,4-Mar,pressing_passive,0.423408438,d15,
h168.1,6/22/25,pressing_passive,0,d15,
h165.3,3/8/25,pressing_active,21.04731436,d16,
h168.3,6/22/25,pressing_active,18.20274087,d16,
h56.1,10/1/24,pressing_active,13.75358166,d16,
h165.3,3/8/25,pressing_passive,12.84816754,d16,
h165.4,3/8/25,pressing_active,11.70722109,d16,
h61.1,12/19/24,pressing_active,11.38098543,d16,
h57.2,10/1/24,pressing_active,11.2923463,d16,
h56.1,10/1/24,pressing_passive,10.08378976,d16,
h165.4,5-Mar,pressing_active,9.050943884,d16,
h165.1,3/8/25,pressing_active,7.399780496,d16,
h61.2,12/19/24,pressing_active,6.66986851,d16,
h165.4,3/8/25,pressing_passive,6.531756978,d16,
h165.2,3/8/25,pressing_active,6.386800612,d16,
h165.1,5-Mar,pressing_active,6.346687822,d16,
h61.4,12/19/24,pressing_active,6.093303713,d16,
h165.3,5-Mar,pressing_active,5.680224404,d16,
h165.2,5-Mar,pressing_active,5.616708093,d16,
h165.1,3/8/25,pressing_passive,5.578747628,d16,
